sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
-	x	x	-	x	-	-	128165	2020_11_17	62	FPÖ	Abgeordnete Petra Steger (FPÖ)	False	Aus dem ersten Lockdown wissen wir bereits, dass sich der Gesund­heitszustand der Bevölkerung durch Bewegungsmangel massiv verschlechtert hat.
+	x	x	x	x	+	+	128243	2020_11_17	62	Grüne	Bundesminister für Kunst, Kultur, öffentlichen Dienst und Sport Vizekanzler Mag. Werner Kogler	True	Ich glaube, schon während des ersten Lockdowns wurde bewiesen, wie leis­tungsfähig der öffentliche Dienst trotz Homeoffice – überall, wo es gegangen ist – ist.
o	x	x	x	x	o	+	128298	2020_11_17	62	Grüne	Bundesminister für Kunst, Kultur, öffentlichen Dienst und Sport Vizekanzler Mag. Werner Kogler	True	Schlussappell: Auch wenn derzeit wieder ein Lockdown herrscht, sollten trotzdem alle in Bewegung bleiben, und das werden wir ja wohl noch zusammenbringen.
-	x	x	-	x	o	-	128324	2020_11_17	62	SPÖ	Abgeordneter Rudolf Silvan (SPÖ)	False	Ich denke, dass Ankündigungen wie die sogenannte freiwillige Massentestung oder der vermeintliche Rechtsanspruch auf Sonderbetreuungszeit für Eltern im Zusam­menhang mit Schulschließungen nach diesem Lockdown weitere Beschwerden bei der Volksanwaltschaft zur Folge haben werden.
-	x	x	-	x	o	-	128327	2020_11_17	62	SPÖ	Abgeordneter Rudolf Silvan (SPÖ)	False	Deswegen würde ich es für sinnvoll halten, wenn auch im Budget der Volksanwaltschaft die Folgen des aktuellen Lockdowns eingepreist werden, denn auch da kann es zu budgetären Problemen kommen.
o	x	x	x	x	o	o	128449	2020_11_17	62	SPÖ	Abgeordnete Sabine Schatz (SPÖ)	False	Ich hoffe, dass Sie auch während der momentanen Pandemie und vor allem während des Lockdowns rasch in der Abarbeitung dieser Anträge vorankommen, denn, wie gesagt, es ist die Dringlichkeit dieses Themas, dass das so wichtig macht.
o	x	x	x	+s	o	-	128494	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Thomas Drozda, Kolleginnen und Kollegen betreffend „Repara­tur des Umsatzersatzes im Lockdown“ Der Nationalrat wolle beschließen: „Die Bundesregierung, insbesondere der Finanzminister und Kulturminister, wird aufge­fordert sicherzustellen, dass vom 80prozentigen Umsatzersatz im Lockdown auch freie Kunst- und Kulturschaffende sowie Zulieferer profitieren sowie dass vereinbarte Gagen bei Absagen von Veranstaltungen und Gewährung von Umsatzersatz in jedem Fall auszubezahlen sind.“  Der Antrag hat folgenden Gesamtwortlaut: der Abgeordneten Mag.
-	x	x	-	x	o	-	128495	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Thomas Drozda, Genossinnen und Genossen betreffend Reparatur des Umsatzersatzes im Lockdown eingebracht im Zuge der Debatte zum Bericht des Budgetausschusses über die Regie­rungsvorlage : Bundesgesetz über die Bewilligung des Bundesvoranschlages für das Jahr 2021  samt Anlagen , UG 32  Die Kultur- und Veranstaltungsbranche ist von der COVID-19-Krise massiv betroffen.
-	x	x	-	x	-	-	128496	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Durch den von der Bundesregierung verkündeten zweiten Lockdown im November hat sich die Situation nochmals verschlechtert.
o	x	x	x	x	o	o	128498	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Anlässlich des zweiten Lockdowns hat der Finanzminister ein neues Instrument der Krisenbewältigung angekündigt.
o	x	x	x	x	o	o	128501	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Für die Ausdehnung des Lockdowns ist nun eine Erweiterung der Branchen vorgesehen.
-	x	x	x	o	o	o	128504	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Freie KünstlerInnen nicht berechtigt für Umsatzersatz Freie KünstlerInnen bekommen keinen Umsatzersatz, da sie nicht direkt von der „Lock­down Verordnung“ des Gesundheitsministeriums betroffen sind.
-	x	x	-	x	o	-	128515	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Ein Licht- oder Tontechniker hat beispielsweise keinen Anspruch auf Umsatz­ersatz, auch wenn er seinem Beruf nicht nachgehen kann, da im Lockdown keine Veranstaltungen stattfinden.
o	x	x	x	+s	o	o	128527	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Aus diesem Grund stellen die unterfertigten Abgeordneten nachstehenden Der Nationalrat wolle beschließen: „Die Bundesregierung, insbesondere der Finanzminister und Kulturminister, wird aufge­fordert sicherzustellen, dass vom 80prozentigen Umsatzersatz im Lockdown auch freie Kunst- und Kulturschaffende sowie Zulieferer profitieren sowie dass vereinbarte Gagen bei Absagen von Veranstaltungen und Gewährung von Umsatzersatz in jedem Fall auszubezahlen sind.“
-	x	x	-	x	o	-	128589	2020_11_17	62	FPÖ	Abgeordneter Ing. Mag. Volker Reifenberger (FPÖ)	False	So haben die Bundesmuseen mit enormen Besucherrückgängen zu kämpfen, wie auf wien.orf.at am 10. August 2020 zu lesen war: „Harte Einbußen im KHM und Belvedere Das Kunsthistorische Museum , das seine Tore nach dem „Lock-down“ am 30. Mai wieder öffnete, begrüßte im ersten Halbjahr 2020 im Vergleich zum Vorjahres­zeitraum nur mehr weniger als ein Drittel der Besucherinnen und Besucher .
-	x	x	x	x	o	-	128716	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Das Netz für die Abfederung dieses Dramas ist umfangreich geschnürt worden, angefangen beim Härtefallfonds für Selbstständige über den Covid-19-Fonds der Künstlersozialversicherung, den Überbrückungsfonds für selbstständige Kunst- und Kulturschaffende, den NPO-Fonds, den Comebackzuschuss für Film- und TV-Produktionen bis hin zu – jetzt neu – dem Lockdownbonus und dem Umsatzersatz für Kulturbetriebe, von dem die Zulieferer hoffentlich auch noch etwas haben und bei dem die Einreichmodalitäten erst geklärt werden müssen.
-	x	x	-	x	o	-	128749	2020_11_17	62	ÖVP	Abgeordneter Mag. Martin Engelberg (ÖVP)	True	Ich denke, dass wir erlebt haben, dass es sehr wehgetan hat, dass man alle Kunst- und Kultureinrichtungen schon im ersten Teillockdown sperren musste – und das wissend um die unglaublichen Bemühungen aller Kultureinrichtungen, die Sicherheit und die Gesundheit der Besucher zu gewährleisten, die sehr viel mehr an Bemühungen als viele andere Einrichtungen, die offen geblieben sind, unternommen haben.
+	x	x	x	+	o	+	128798	2020_11_17	62	Grüne	Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport Mag. Andrea Mayer	True	Der Umsatzersatz von 80 Prozent für den aktuellen Lockdown kommt allen Kulturbetrieben zugute.
+	x	x	x	+	o	+	128801	2020_11_17	62	Grüne	Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport Mag. Andrea Mayer	True	Es war mir natürlich auch bewusst, dass die freischaffenden Künstler ebenso eine Kompensation für diesen zweiten Lockdown brauchen, deshalb gibt es für sie eine Kompensation bei der SVS von 1 300 Euro netto zusätzlich im Monat im Rahmen unserer Überbrückungsfinanzierung.
o	x	x	x	x	o	+	128803	2020_11_17	62	Grüne	Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport Mag. Andrea Mayer	True	Und jemand, der im Rahmen des Härtefallfonds angesucht hat, kann dort höchstens 2 500 Euro und zusätzlich diese Lockdownkompensation von der SVS bekommen, er bekommt also maximal 3 800 Euro netto.
-	x	x	x	x	o	o	128821	2020_11_17	62	SPÖ	Abgeordnete Katharina Kucharowits (SPÖ)	False	Ich möchte, da ich jetzt das erste Mal hier im Rahmen des Plenums zum Budget 2021 spreche, einfach nur eine Feststellung tätigen, sie ist heute schon oftmals gekommen: Wir diskutieren hier ein Budget, das wir letzte Woche in langen Budgetverhandlungen im Ausschuss behandelt haben, das überhaupt nicht dem Stadium entspricht, in dem wir jetzt stecken, in dem nämlich der Lockdown zwei, der heute begonnen hat, überhaupt keine Berücksichtigung findet.
-	x	x	x	-	o	-	128882	2020_11_17	62	SPÖ	Abgeordnete Mag. Ruth Becher (SPÖ)	False	Sie haben im ersten Lockdown die Situation so wahrgenommen, dass das Verständnis für sie, für ihre Lebenssituation vonseiten der Regierung gefehlt hat.
o	x	x	x	x	o	o	129087	2020_11_17	62	NEOS	Abgeordneter Dr. Helmut Brandstätter (NEOS)	False	Ich würde wirklich bitten, das zu lesen, im Zuge des Lockdowns ist ja auch viel Zeit.
-	x	x	x	x	o	o	129983	2020_11_17	62	FPÖ	Abgeordneter Mag. Hannes Amesbauer, BA (FPÖ)	False	Aber so wie insgesamt: Das Budget ist ja auch aufgrund des zweiten Lockdowns und der ganzen Coronasituation, die ja nicht ins Budget eingepreist sind, in Wahrheit ein Fantasiebudget mit Fantasiezahlen, von dem wir alle hier wissen, dass es so auch nicht halten wird.
-	x	x	-	x	o	-	130374	2020_11_17	62	SPÖ	Abgeordnete Mag. Verena Nussbaum (SPÖ)	False	Das führt dazu, dass Frauen in Teilzeit, in schlecht bezahlten Jobs arbeiten, aber es sind gerade jene Frauen, die eine niedrige Pension erhalten, die die sogenannten System­erhalterinnen sind – die in der Pflege arbeiten, die im Handel arbeiten –, die jetzt wieder die Heldinnen in dieser Lockdownkrise sind.
o	x	x	x	+s	o	o	131064	2020_11_17	62	Grüne	Abgeordneter Ing. Martin Litschauer (Grüne)	True	In Zeiten des Lockdowns und der eingeschränkten Einkaufsmöglichkeiten wird sehr viel online bestellt, und ich würde dazu aufrufen, das vielleicht bei regionalen Anbietern zu machen.
-	x	x	-	x	o	-	131473	2020_11_17	62	SPÖ	Abgeordnete Mag. Verena Nussbaum (SPÖ)	False	Nicht nur, dass eine Vielzahl von Untersuchungen, Operationen und Rehabilitationen nicht durch­ge­führt wurden, und sich damit unter Umständen der Gesundheitszustand der Betroffenen verschlechtert hat, sind vor allem die Beschränkungen der Lockdowns für die Menschen starke psychische Belastungen.
-	x	x	-	x	-	-	131547	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Oder um es anders zu formulieren: Allein die beschlossene Umsatzentschädigung für die Betriebsschließungen während der ersten drei Wochen Lockdown light von Anfang November bis heute verursacht Kosten von mehr als dem Doppelten dessen, was wir für unser gesamtes jährliches Gesundheitsbudget zur Ver­fügung haben.
-	x	x	x	-	o	-	131548	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Da reden wir von Kosten von 2 bis 3 Milliarden Euro für die Entschä­digung für Umsatzausfall nur durch den Lockdown light im Vergleich zu 1,8 Milliarden Euro, die wir im Gesundheitsbereich haben.
o	x	x	x	x	o	o	131690	2020_11_17	62	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Die letzten zwei Punkte von meiner Seite: Wir arbeiten derzeit sehr, sehr intensiv an der Frage, wie es nach dem 6. Dezember, nach dem Lockdown weitergehen kann.
o	x	x	x	+s	o	o	131703	2020_11_17	62	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Wie können wir am Ende des Lockdowns ganz bestimmte Zielgruppen, die sehr frequente Kundenkontakte haben, anderen persönlich begegnen und diese auch berühren, verstärkt in die Testprogramme integrieren?
-	x	x	-	x	o	-	131752	2020_11_17	62	Grüne	Abgeordnete Mag. Faika El-Nagashi (Grüne)	True	Tonnen an Fleisch landeten im ersten Lockdown im Müll, Tonnen an Fleisch werden auch im zweiten Lockdown originalverpackt im Müll landen.
o	#	#+	x	x	o	-	131856	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerald Hauser (FPÖ)	False	Dieses Wirtschaftsreparaturpaket hat die Umsetzung nachstehender Maßnahmen [...] sicherzustellen: - Voller Entschädigungsanspruch für alle Betriebe, die durch das Betretungsverbot betroffen sind, in jener Höhe, den diese erhalten hätten, wenn ihr Betrieb auf Grundlage des EpidemieG geschlossen worden wäre; - Sofortige antragslose Akontozahlung durch die Finanzämter an alle Unternehmer, die sämtliche Kosten und einen entsprechenden Unternehmerlohn für die nächsten drei Monate abdeckt; - Abwicklung sämtlicher Maßnahmen über die Finanzämter.“ In aller Kürze noch eine zweite wichtige Frage an Sie, Herr Minister: Über Puls 4 haben Sie mitgeteilt – ich zitiere –: Das Ziel ist es, dass dieser Lockdown so lange anhält, bis wir den Impfstoff haben.
-	x	x	-	x	o	-	131875	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerald Hauser	False	Der neuerliche zweite Lockdown mit Ausganssperren, Schulschließungen, großflächi­gen Betretungsverboten für Betriebe des Handels, der Gastronomie und Beherber­gungs­betriebe sowie einer massiven Auswirkung dieser Maßnahmen auf die Wert­schöpfungskette in den Zulieferbetrieben, der Industrie und Gewerbe ab dem 17. November 2020 verlangt daher nach einer grundlegenden Neuausrichtung des staat­lichen Schadenersatzes für solch massive Eingriffe in die österreichische Wirtschaft.
-	x	+	-	x	+	+	131948	2020_11_17	62	ÖVP	Abgeordneter Dr. Werner Saxinger, MSc (ÖVP)	True	Und jetzt noch der Lockdown, alles zu: furchtbar, aber alternativlos.
-	x	+	x	+	+	+	131961	2020_11_17	62	ÖVP	Abgeordneter Dr. Werner Saxinger, MSc (ÖVP)	True	Der Lockdown ist die einzig mögliche Reaktion auf diese dramatischen Zustände, er ist alternativlos , und die Bundesregierung hat das einzig Richtige gemacht – ja machen müssen!
-	x	x	-	x	-	-	132042	2020_11_17	62	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Diese lange und starke Belastung hält an, sie hat sich nach dem Ende des ersten Lockdowns nicht verbessert, und wir sind erst am Anfang des zweiten Lockdowns.
-	##	-##+	x	x	-	-	132147	2020_11_17	62	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Als weiteren wichtigen Punkt möchte ich einfach noch einmal etwas klarstellen – denn wer weiß, was mit derartigen Mythen sonst passiert –: Es wurde von einem Redner der FPÖ ein Puls-4-Interview mit mir zitiert, zum Teil zitiert, wobei der Vorwurf war, ich hätte indirekt per Kommunikation über Puls 4 – das wäre eine interessante Entscheidungs­findung und Kommunikation; eigentlich ist das Parlament und ist die Regierung der Ort, wo man etwas Derartiges entscheiden müsste, was wir im Übrigen nicht wollen – angekündigt, dass der Lockdown über den 6. Dezember hinaus fortgesetzt wird.
o	x	x	x	x	-	-	132151	2020_11_17	62	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Mit der Formulierung, dass der Lockdown anhält, war aber nicht gemeint, dass er fortgesetzt wird, sondern dass die Wirkung des Lockdowns anhält.
o	x	x	x	+s	+	+	132154	2020_11_17	62	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Wir müssen das Ziel haben, dass der Lockdown so nachhaltig ist, dass er nicht nur für einige Wochen wirkt, sondern dass er möglichst lange Zeit bis zur Impfung wirkt.
o	x	x	x	x	o	o	132406	2020_11_17	62	ÖVP	Bundesministerin für Landesverteidigung Mag. Klaudia Tanner	True	Wir sind wieder gefordert: Wir sind in Abstimmung mit dem Gesundheitsministerium und mit dem Bundeskanzleramt betreffend die Planungsarbeiten für Massentests, die nach dem Ende des Lockdowns stattfinden sollen.
+	x	x	x	x	o	o	132476	2020_11_17	62	ÖVP	Abgeordneter Ing. Manfred Hofinger (ÖVP)	True	Abschließend ein genereller Dank an alle Soldatinnen und Soldaten, an alle Verantwor­tungsträger, Vorgesetzten, die im vergangenen Jahr Besonderes geleistet haben, für die Sicherheit gesorgt haben, für die Bekämpfung der Pandemie gesorgt haben, und ich möchte mich auch im Vorhinein schon dafür bedanken, dass sie uns auch wieder bei den Testungen, die nach dem zweiten Lockdown stattfinden, unterstützen.
-	x	x	x	-	o	-	132738	2020_11_17	62	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Es muss etwas passiert sein, denn jetzt haben wir einen zweiten Lockdown, und die Regierung steht da, als hätte sie das erste Mal in ihrem Leben von Corona und den Problemen der Wirtschaft gehört.
-	x	x	x	-	o	-	132791	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Die Unternehmen haben den Lockdown des Frühjahres überstanden, dann ist es mit der Wirtschaft endlich wieder aufwärtsgegangen, aber es ist leider so, dass diese Regierung über den Sommer alles verschlafen hat – sämtliche Vorbereitungsmaßnahmen, die not­wendig gewesen wären, die für die Wirtschaft notwendig gewesen wären, wurden nicht getroffen.
o	x	x	x	+s	o	o	132798	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Ich bringe daher folgenden Antrag ein: der Abgeordneten Erwin Angerer, Kolleginnen und Kollegen betreffend „dringende Um­setzung des Fixkostenzuschuss II sowie Ermöglichung eines Umsatzersatzes für alle auch indirekt vom zweiten Lockdown betroffenen Unternehmen“ Der Nationalrat wolle beschließen: „Die Bundesregierung wird aufgefordert, einerseits umgehend sicherzustellen, dass auch die indirekt betroffenen Zulieferfirmen der aufgrund des zweiten Lockdowns ge­schlos­senen Betriebe einen Umsatzersatz erhalten, und andererseits den Fixkosten­zuschuss II unmittelbar umzusetzen.“ Ich ersuche um Zustimmung.
o	x	x	x	+s	o	o	132800	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Der Antrag hat folgenden Gesamtwortlaut: des Abgeordneten Erwin Angerer und weiterer Abgeordneter betreffend dringende Umsetzung des Fixkostenzuschuss II sowie Ermöglichung eines Umsatzersatzes für alle auch indirekt vom zweiten Lockdown betroffenen Unternehmen eingebracht im Zuge der Debatte über den Tagesordnungspunkt 11, Bericht des Budget­ausschusses über die Regierungsvorlage : Bundesgesetz über die Bewilligung des Bundesvoranschlages für das Jahr 2021  samt Anlagen , Untergliederung UG 40 – Wirtschaft, in der 62.
-	x	x	-	x	o	-	132802	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	GP, am 18. November 2020 In den letzten Monaten mussten sich viele Betriebe und Unternehmen in Folge von COVID-19 und des verordneten Lockdowns massiv verschulden und befinden sich nach wie vor, wenn auch mit branchenabhängigen Unterschieden, in einer wirtschaftlich äußerst schwierigen Lage.
-	x	x	-	x	o	-	132808	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Laut Budgetbericht liegen dem Budget 2021 – noch ohne Miteinbeziehung des mittler­weile „verordneten“ Lockdowns - folgende Daten zugrunde: „Im Jahr 2020 ist die wirtschaftliche Entwicklung in Österreich sehr stark von der welt­weiten COVID-19 Pandemie gekennzeichnet.
-	x	x	-	x	-	-	132816	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Das WIFO rechnet mit einem Rückgang heimischer Exporte in der Höhe von 12,4%.“ Wie drastisch die Auswirkungen eines zweiten Lockdowns für die Wirtschaft in Öster­reich wären, haben IHS und WIFO nämlich kürzlich dargelegt, die einen neuen Lock­down mit folgender Begründung als argen Schlag bezeichnen!
-	x	x	-	x	-	-	132817	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	„Ein neuerlicher Lockdown in diesem Herbst könnte die BIP-Raten - laut Wifo heuer minus 6,8 Prozent, 2021 plus 4,4 Prozent - um 2,5 bis 4,0 Prozentpunkte senken, warnte das Wirtschaftsforschungsinstitut am Freitag.
-	x	-	-	x	-	-	132819	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Ein neuerlicher Lockdown freilich könnte die Wirtschaftsleistung im vierten Quartal auf das Niveau des zweiten Quartals herunterdrücken und im gesamten Prognosezeitraum einen Wertschöpfungsverlust von 4,5 Prozent bewirken, warnt das Wifo.“ APA0140 Fr, 09.Okt 2020 Wir haben die Bundesregierung bereits vor einigen Wochen mit einem Antrag dazu auf­gefordert, vor dem Hintergrund dieser dramatischen Auswirkungen eines zweiten Lockdowns, umgehend öffentlich einen zweiten Lockdown in Österreich auszuschließen.
-	x	-	-	x	-	-	132820	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	In eben diese Kerbe schlug auch die Wirtschaftskammer, wenn Präsident Mahrer und Generalsekretär Kopf in diesem Zusammenhang in einer Aussendung vom 9. Oktober 2020 „wirtschaftspolitische Vernunft“ und die Verhinderung eines neuerlichen Lock­downs einforderten: „Viele österreichische Betriebe werden weiterhin mit der größten Wirtschaftskrise der vergangenen Jahrzehnte ringen.
-	x	-	x	x	-	-	132821	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Ein zweiter Lockdown ist undenkbar und daher unter allen Umständen zu vermeiden.
o	x	x	x	x	o	o	132823	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Mit Wirksamkeit vom 03.11.2020 ist nunmehr der zweite Lock-Down in Kraft getreten, dem auch die WKO ganz offensichtlich zugestimmt hat.
-	x	x	-	x	o	-	132824	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Die entsprechenden Auswirkungen dieses zweiten Lockdowns beurteilt bzw. beziffert das WIFO in einer Aussendung vom 5. November 2020 wie folgt: „Der wegen der Corona-Pandemie seit Dienstag geltende zweite Lockdown in Öster­reich wird die heimische Wirtschaft heuer und nächstes Jahr stärker in Mitleidenschaft ziehen als bisher angenommen.
o	x	x	x	x	o	o	132828	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	APA0170 / 05.Nov 2020 Als finanziellen Ausgleich für jene Unternehmen, die vom zweiten Lockdown betroffen sind, wurde ein 80 %iger Umsatzersatz des Umsatzes des Vorjahresmonats ver­sprochen.
o	x	x	x	x	o	o	132832	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	„Wir haben mehrfach betont, dass nicht nur die direkt vom Lockdown betroffenen Branchen eine Perspektive brauchen, sondern auch jene, die indirekt betroffen sind.
-	x	x	x	+s	o	o	132836	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Auch in diesem Zusammenhang meldete sich Harald Mahrer gegenüber der Tiroler Tageszeitung am 1. Oktober 2020 zu Wort und mahnte eine schnellstmögliche Um­setzung der Verlängerung des Fixkostenzuschusses ein, „da sonst viele Betriebe zusperren müssten und er absolut kein Verständnis für Diskussionen auf dem Rücken der österreichischen Betriebe habe.“ Der verordnete Lockdown von Gastronomie, Hotellerie, Event- und Veranstaltungs-branche treffe aber auch indirekt viele Betriebe hart, beklagte die Obfrau der WKÖ-Sparte Gewerbe und Handwerk, Renate Scheichelbauer-Schuster.
-	x	x	-	+s	o	-	132844	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Nov 2020 In diesem Zusammenhang stellen die unterfertigten Abgeordneten daher nach­ste­hen­den Der Nationalrat wolle beschließen: „Die Bundesregierung wird aufgefordert, einerseits umgehend sicherzustellen, dass auch die indirekt betroffenen Zulieferfirmen der aufgrund des zweiten Lockdowns ge­schlossenen Betriebe einen Umsatzersatz erhalten, und andererseits den Fixkosten­zuschuss II unmittelbar umzusetzen.“
o	x	x	x	+	o	+	132976	2020_11_17	62	ÖVP	Bundesministerin für Digitalisierung und Wirtschaftsstandort Dr. Margarete Schramböck	True	Übrigens: Die Unternehmen, die international tätig sind, signalisieren mir, dass sie Aufträge haben, dass – anders als im ersten Lockdown – die Wertschöpfungsketten und die Grenzen offen sind, dass das ein ganz wichtiger Faktor ist.
-	#	#+	x	x	o	-	133089	2020_11_17	62	FPÖ	Abgeordneter Walter Rauch (FPÖ)	False	– Weil Sie den zweiten Lockdown verursacht haben.
-	x	x	x	+	o	o	133221	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ)	False	Die Inves­titionsprämie ist sicher eine ganz gute Maßnahme, aber ich möchte im Lockdown dazusagen: Die Unternehmen, die investieren, rechnen mit einem Return of Investment, weil sie das, was sie investieren, ja irgendwie erwirtschaften müssen.
-	x	x	-	x	-	-	133340	2020_11_17	62	ÖVP	Abgeordneter Christoph Stark (ÖVP)	True	– Damit befeuern Sie die Spaltung der Gesellschaft, und damit tragen auch Sie Verantwortung für den Lockdown.
-	x	x	x	-	o	-	133420	2020_11_17	62	SPÖ	Abgeordnete Cornelia Ecker (SPÖ)	False	Wir befinden uns im zweiten Lockdown, und die Kosten dieser Maßnahmen sind nicht im Budget 2021 abgebildet.
-	x	x	-	x	o	-	134255	2020_11_17	62	ÖVP	Abgeordneter Franz Hörl (ÖVP)	True	Die Infektionen der letzten Tage haben aber dazu geführt, dass wir uns noch einmal in einem Lockdown befinden und nun vor der Situation stehen, dass wir die Saison möglicherweise nicht starten können.
-	x	x	-	-	o	-	134260	2020_11_17	62	ÖVP	Abgeordneter Franz Hörl (ÖVP)	True	Es wäre allerdings schon gut – und die Frau Kollegin, Tourismussprecherin Neßler, könnte bei ihrem Bundes­minister Anschober dafür Sorge tragen –, wenn nicht dasselbe passiert, was im Frühjahr war, als wir zwischen dem Lockdown  und dem Beginn der Saison sechs Wochen gebraucht haben, um unsere Skigebiete und die Lifte in Betrieb nehmen zu können.
-	x	x	-	x	-	-	134304	2020_11_17	62	ÖVP	Abgeordneter Ing. Manfred Hofinger (ÖVP)	True	Es stimmt, dass noch nicht alle Gemeinden es sich abgeholt haben, aber wir müssen den Gemeinden diesbezüglich auch Zeit geben, und wenn wir die gesamten Auswirkungen auf die Gemeinden beur­teilen, kann ich aufgrund vieler Gespräche mit anderen Bürgermeisterkollegen schon eines sagen: dass wir im heurigen Jahr – hätten wir nicht den zweiten Lockdown – finanziell gerade so über die Runden kommen.
+	x	x	x	x	o	+	134416	2020_11_17	62	ÖVP	Abgeordneter Ing. Josef Hechenberger (ÖVP)	True	Ich darf mit einem positiven Thema beginnen, und zwar auch in Lockdownzeiten: Auch in schwierigen Zeiten gibt es keine Probleme, keine Versorgungsengpässe bei Lebensmitteln, weil unsere österreichischen Bauern­familien rund um die Uhr fleißig arbeiten und Lebensmittel in ausreichender Menge und in hoher Qualität zur Verfügung stellen – letztendlich ist das auch unsere Aufgabe beziehungsweise unser Job.
+	x	x	x	+	o	+	134475	2020_11_17	62	ÖVP	Abgeordnete Irene Neumann-Hartberger (ÖVP)	True	Urlaub am Bauernhof, private Beherbergungsbetriebe sowie Buschenschanken und Heurige leiden genauso unter dem Lockdown, und deshalb auch an dieser Stelle ein herzliches Dankeschön an unsere Frau Minister, die für diese Betriebe den Umsatzersatz im selben Ausmaß wie für Gastronomie und Tourismus sicherstellt.
-	x	x	-	x	o	-	134510	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Nicht nur die kurzfristigen Bildungsverluste, sondern auch die mittel- und langfristigen Verluste reichen von 100 bis 200 Euro Einkommensverlust für jeden einzelnen Monat im Schullockdown, und die wirtschaftlichen Verluste und Kosten liegen bei 2 Milliarden Euro pro Monat mit geschlossenen Schulen.
