sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
-	x	x	-	x	o	-	135881	2020_11_17	62	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	Demnach Frau Coronakrise Ungleichheit Geschlechtern verschärft Frauen Lockdowns vermehrt traditionelle Rollen gerutscht 
-	x	x	x	x	o	o	135887	2020_11_17	62	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	Lockdown Studie begleitet   aufgepasst 
-	x	x	x	x	o	o	135900	2020_11_17	62	ÖVP	Bundesministerin für Frauen und Integration im Bundeskanzleramt MMag. Dr. Susanne Raab	True	befinden inmitten Coronapandemie inmitten Lock­downs 
-	x	x	x	+	o	+	135922	2020_11_17	62	ÖVP	Bundesministerin für Frauen und Integration im Bundeskanzleramt MMag. Dr. Susanne Raab	True	Woche Apotheken Arztpraxen niedergelassener Ärzte Handel bundesländerspezifische Beratungsinformationen Verfügung stehen Lockdowns sichergestellt Frauen wissen Hilfe bekommen 
o	x	x	-	x	o	o	135989	2020_11_17	62	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Herr Kollege Kucher behauptet Lockdown Frauen schwierig Frau Ministerin geschwiegen 
+	x	x	x	+	o	+	135994	2020_11_17	62	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Anfang März Pressekonferenz Frau Ministerin Raab Frau Ministerin gegeben Maßnahmen getroffen Lockdown betroffenen Frauen unterstützen 
-	x	x	-	x	o	-	136042	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ)	False	Lockdowns Gefühl traditionellen Rollen zurückrutschen 
-	x	x	-	x	o	-	136048	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ)	False	Frauen übernehmen Verantwortung   Kinder­betreuung Pflege Angehörigen   schwierigsten Bedingungen kümmern Familie Arbeit Haushalt Sorgen betreffend Lockdowns sonstige Dinge 
-	x	x	x	-	o	-	136369	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	sogenannten harten Lockdown Einzige freundliches Lächeln 
-	x	-	-	x	-	-	136379	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Lockdown sperren Leuten Existenz 
o	x	x	o	x	o	+	136436	2020_11_17	62	ÖVP	Abgeordnete MMMag. Gertraud Salzmann (ÖVP)	True	Oberstufe Wochen Distancelearning derzeit Lock­down Unterstufe Sekundarstufe   I Volksschule Distancelearning Schulen 
-	x	x	-	x	o	-	136456	2020_11_17	62	Grüne	Abgeordneter Mag. Markus Koza (Grüne)	True	erfreulich Rahmen Lock­downs Unternehmensunterstützungen Erhalt Beschäftigung gebun­den   Beschäftigtenstand bleibt Förderungen Unterstützungen Hilfen   befürchten Arbeitslosigkeit nächsten Wochen Monaten steigen 
-	x	x	-	-	-	-	136489	2020_11_17	62	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Lockdown Folgen zeigen Stellenabbau­program­me weitergehen Lockdown steht ante portas Regierung hinstolpert Woche Woche überlegt 
-	x	x	-	x	o	-	136622	2020_11_17	62	FPÖ	Abgeordneter Peter Wurm (FPÖ)	False	steigt wöchentlich dramatisch stehen Anfang eigentlich Lockdowns 
-	x	x	-	x	o	-	136657	2020_11_17	62	FPÖ	Abgeordneter Peter Wurm (FPÖ)	False	Sommermonate Lockdowns Arbeitslosen­zahlen kurzfristig zurückgegangen Lockdown Arbeitslosenzahlen 2020 arbeitsmarkpolitische Schall­mauer 500.000 Arbeitslosen deutlich durchschlagen 
-	x	x	-	x	o	-	0	2020_11_17	62	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Nebenjob Sommer suchen Lockdown betroffen 
-	x	x	-	x	-	-	136725	2020_11_17	62	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Fall all konkreten Familien beginnen Lock­down Lebensmitteln sparen Frage Lock­down sparen 
-	x	x	-	-	o	-	136731	2020_11_17	62	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	komme Punkt Frau Ministerin Aschbacher fehlt gezielte Maßnahme Familien Lockdown 
-	x	x	-	-	o	-	136735	2020_11_17	62	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Lockdowns Unternehmen monatelang zusperren reichen Monate 
-	x	x	x	-	o	-	136748	2020_11_17	62	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	hilft Leistungsträgerinnen -trägern Ost- Südosteuropa Lockdown arbeiten Pflege Einzelhandel weiterhin Indexierung Familienleistungen Augen führen 
-	x	x	-	x	o	-	136762	2020_11_17	62	ÖVP	Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher	True	Insofern verlangt Lockdown enorm Einzelnen beziehungsweise betroffen 
+	x	x	x	+	o	+	136774	2020_11_17	62	ÖVP	Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher	True	Anpassungen Coronakurzarbeit vorgenommen All Unternehmen direkt Lockdown betroffen Arbeitszeit Mitarbeiter 0   Prozent reduzieren sodass Mitarbeiterinnen Mitarbeiter gekündigt 
+	x	x	x	+	+	+	136775	2020_11_17	62	ÖVP	Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher	True	Lockdown kom­men Coronakurzarbeit adaptiert 
+	x	x	x	+	o	+	136831	2020_11_17	62	ÖVP	Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher	True	Erfahrung Lockdown Phase Herbst weiterentwickelt Kinder vertrauten zumutbaren Umfeld unterstützt 
+	x	x	x	+s	o	o	136994	2020_11_17	62	FPÖ	Abgeordnete Edith Mühlberghuber (FPÖ)	False	Vorteile Eltern Kinder bringen Lockdown spüren Eltern schwierig Arbeit Kinder­betreuung Hut bringt genau Doppelresidenz Wohle Eltern Kinder unserem Land beitragen 
-	x	x	x	-	o	-	137065	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	glaubt 30.   November Lockdown vorbei irgendwie regeln   irgendetwas Erratisches irgendeinem Umsatzersatz getan 
+	x	x	x	+	o	+	137095	2020_11_17	62	ÖVP	Abgeordneter Laurenz Pöttinger (ÖVP)	True	Kurzarbeitsregelung Lockdown helfen Lockdown gesehen 
-	x	x	-	x	o	-	137112	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ)	False	steht   zitiere   Lockdowns verschlechtert Lage Arbeitsmarkt dramatisch Österreichweit 613   600   Menschen arbeitslos Kurzarbeit Zahlen steigen 
-	x	x	-	x	o	-	137213	2020_11_17	62	SPÖ	Abgeordnete Petra Wimmer (SPÖ)	False	Verstärkt Belastung aktuellen Lockdown 
-	x	x	-	x	-	-	137327	2020_11_17	62	ohne Klubzugehörigkeit	Abgeordnete Pia Philippa Strache (ohne Klubzugehörigkeit)	False	denke Maßnahmen Lockdown getroffen anderes passiert künstlichen Stau­damm errichten 
-	x	-	x	-	-	-	137328	2020_11_17	62	ohne Klubzugehörigkeit	Abgeordnete Pia Philippa Strache (ohne Klubzugehörigkeit)	False	glaube brechen gehe ziemlich sicher Lockdown anderes 
+	x	x	x	x	o	o	137339	2020_11_17	62	ohne Klubzugehörigkeit	Abgeordnete Pia Philippa Strache (ohne Klubzugehörigkeit)	False	Lockdown Schönes systemrelevante Berufe 
-	x	x	x	-	o	-	137465	2020_11_17	62	FPÖ	Abgeordneter Dipl.-Ing. Gerhard Deimek (FPÖ)	False	schmeißen Milliarden Euro medizinischen Bereich Mal Situation Lockdown Zeitpunkt Infektionswerte eigentlich zurückgehen paar 
-	x	-	x	-	-	-	137489	2020_11_17	62	FPÖ	Abgeordneter Dipl.-Ing. Gerhard Deimek	False	folgte Lockdown wissenschaftliche Evidenz Begleit­forschung 
-	x	x	x	-	-	-	137490	2020_11_17	62	FPÖ	Abgeordneter Dipl.-Ing. Gerhard Deimek	False	Blindflug Lockdown befürchten 
o	x	x	x	s+	o	o	137980	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Begleitforschung wünschen Thema bräuchte dringend interdisziplinäre Betrachtung Bewertung Maßnahmen Lockdown setzen 
o	x	x	x	x	o	o	138374	2020_11_17	62	NEOS	Abgeordneter Dr. Helmut Brandstätter (NEOS)	False	Bitte geben Stoß Gescheites überlegt Möglichkeit kommenden Wochen Lockdowns Bücher 
+	x	x	x	+	o	+	138587	2020_11_17	62	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Notvergabe sichergestellt Verbindungen Lockdown eins funktioniert 
-	x	x	-	x	o	-	138588	2020_11_17	62	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	bisschen Geld gekostet 53,7   Millionen Euro Westbahn ÖBB schaut auf­grund Lockdown Notvergabe geben 
o	x	x	x	x	o	o	138847	2020_11_17	62	ÖVP	Abgeordneter Andreas Kühberger (ÖVP)	True	Österreich befinden Lockdown 
+	x	+	x	x	+	+	138848	2020_11_17	62	ÖVP	Abgeordneter Andreas Kühberger (ÖVP)	True	Bundesregierung Lockdown notwendig Gesundheitssystem Menschenleben retten 
-	x	x	-	x	o	-	138921	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	Reisebeschränkungen Lockdown light vollen Lockdown Dienstag 
-	x	x	x	-	o	-	138923	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	Folgen Lockdowns jetzigen Lockdowns vorab Wirtschaftsforschern geschätzt Budget enthalten 
o	x	x	o	x	o	o	138928	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	Wirtschaftsforscher sagen aufgrund Lockdowns wahrscheinlich 10   Prozent höher 
-	x	x	x	-	o	-	139158	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	sehe   widersprechen   einfach Punkt Budget vorlegt harten Lock­down müsste einzupreisen 
-	x	x	x	-	o	-	139183	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Umsatzersatz nächste Tool bleibe Einschätzung Instrument Zeiten Lockdowns falsch aufgesetzt 
o	x	x	x	+s	o	o	139184	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Lockdowns Tool geeignet Instrument Mantel Katastrophenhilfe 
o	x	x	x	x	o	o	139245	2020_11_17	62	ÖVP	Abgeordneter Gabriel Obernosterer (ÖVP)	True	Finanzminister gehört Lockdown Abänderungsbudget eingebracht bearbeitet Zahlen eingegangen 
-	x	x	-	x	o	-	139410	2020_11_17	62	SPÖ	Abgeordneter Maximilian Köllner, MA (SPÖ)	False	Lockdown März nämlich Umsätze Reisebüros -ver­anstalter Keller gerasselt Aktienkurse Börsencrash 
-	x	x	-	x	o	-	139455	2020_11_17	62	ÖVP	Abgeordneter Mag. Andreas Hanger (ÖVP)	True	  wichtig Wirtschaftsforscher Kocher Interview   tatsächlich Wachstumsprognosen aufgrund Reisewarnungen aufgrund Lockdowns zurückgenommen 
+	x	x	x	+s	o	o	139472	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Thomas   Drozda Josef   Schellhorn Kolleginnen Kollegen betreffend sofortige Ermöglichung kontaktlosen Buch-Abholstationen Lockdown Nationalrat wolle beschließen unnötige Umsatzsteuerminderung verhindern Bundesregierung aufge­fordert Nationalrat Vorlage vorzulegen heimischen BuchhändlerIn­nen unverzüglich ermöglicht KundInnen kontaktlose Buch-Abholstationen Inland anzubieten 11.30   Buchhändler einig Kameras gesprochen 
+	x	x	x	+s	o	o	139476	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Thomas   Drozda Sepp Schellhorn KollegInnen Kollegen betreffend sofortige Ermöglichung kontaktlosen Buch-Abholstationen Lockdown eingebracht Zuge Debatte Bericht Budgetausschusses Regie­rungsvorlage Bundesgesetz Bewilligung Bundesvoranschlages 2021   samt Anlagen UG 16   Unterstützung Covid-19-Pandemie betroffenen Branchen steuerliche Maßnahmen beschlossen 
-	x	x	-	x	o	-	139482	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	derzeit absehbar Lockdowns nötigen Maßnahmen Bekämpfung Corona Kultur­branche schwierige bevorsteht 
-	x	x	x	-	o	-	139484	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Empörung herrscht aktuell Buchhandel kontakt­lose Abholstationen Kunden Lockdowns untersagt 
+	x	x	x	+s	o	o	139485	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Abholstationen Versandkosten gespart Buchkultur wichtige Funktion Lockdown erfüllen 
-	x	x	-	+s	o	o	139486	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Branche steht Problem Versandhandel Umsatzteile Ausland abwandern inländischen Fiskus Vorteil Buchhändler Inland Lockdowns Bücher online verkaufen Abholstationen Österreicherinnen Österreichern ausliefern könn­ten 
+	x	x	x	+s	o	o	139487	2020_11_17	62	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	unnötige Umsatzsteuerminderung verhindert ohnehin Lockdown schwer betroffene Branche profitieren 
-	x	x	x	-	o	-	139499	2020_11_17	62	SPÖ	Abgeordneter Ing. Reinhold Einwallner (SPÖ)	False	Diesmal ähnlich Folgekosten Lockdowns Budget berücksichtigt 
-	x	x	-	x	-	-	139562	2020_11_17	62	SPÖ	Abgeordnete Mag. Karin Greiner (SPÖ)	False	Bedingt Maßnahmen ÖVP Grüne-Bundesregierung insbesondere neuerliche Lockdown November 2020 lassen Einnahmen Branchen wegbrechen 
-	x	x	-	+s	o	-	139572	2020_11_17	62	SPÖ	Abgeordnete Mag. Karin Greiner (SPÖ)	False	Angesichts verschlechternden Situation Lockdown Dauer abzusehen Mehrwertsteuersenkungen Bereiche ebenfalls zusätzliche Reduktion Ertragsanteile auswirkt benötigen Gemeinden dringend Finanzmittel Leistungen Bevölkerung aufrecht erhalten 
-	x	x	x	-	-	-	139593	2020_11_17	62	FPÖ	Abgeordneter Christian Lausch (FPÖ)	False	Frühjahr Lockdown schließt Schulen vieles hingedeutet übernervöse Bundesregierung wahrscheinlich Zahlen ansteigen Herbst Ähnliches plant gepredigt Pflichtschulen bleiben 
o	x	x	x	-	o	-	139594	2020_11_17	62	FPÖ	Abgeordneter Christian Lausch (FPÖ)	False	bevor Lockdown Kraft getreten Pflichtschulen geschlossen 
-	x	x	x	-	o	-	139971	2020_11_19	63	SPÖ	Abgeordneter Mag. Jörg Leichtfried (SPÖ)	False	Grund plötzlich gekommen   Lockdownzeit gehofft auffällt 
-	x	x	-	-	o	-	140342	2020_11_19	63	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Stellen ausreichend Budgetmittel Schulschließungen Lockdown­verlierer Verfügung kennen Studien Belgien Kanada 
-	x	x	-	x	o	-	140420	2020_11_19	63	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Blick Zahlen sanften Lockdown gegangen zeigen Zahlen klar Infektionsgeschehen Oberstufen abgenommen 
-	x	x	x	x	o	o	140466	2020_11_19	63	FPÖ	Abgeordneter Mag. Gerald Hauser	False	  aktuell medial verbreitet nämlich Regierung plant Beendigung Lockdowns Maskenpflicht Schüler Alter einzuführen 
-	x	+	x	+	+	+	140692	2020_11_26	67	ÖVP	Abgeordneter Mag. Andreas Hanger (ÖVP)	True	nämlich tatsächlich Teillockdown Bereich Gast­ronomie Tourismus 
+	x	x	x	+	+	+	140695	2020_11_26	67	ÖVP	Abgeordneter Mag. Andreas Hanger (ÖVP)	True	Lockdown gelungen Umsatzersatz Einzelhandel willkommen 
-	x	x	x	-	o	-	140745	2020_11_26	67	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	bewusst Finanzminister wiederum Budget vorlegt Lockdown light berücksichtigt harten Lockdown 
+	x	x	+	+	+	+	140782	2020_11_26	67	Grüne	Abgeordneter Mag. Dr. Jakob Schwarz, BA (Grüne)	True	festhalten letzte Lockdownszenario quasi aufgrund Dynamik Infektionen verspätet Wifo nachgeliefert Finanzrahmen Budget Abänderungsantrag reagiert sechswöchigen Lockdown vorgesehen Dezember endet Bezug Infektionen ausgeht Jänner ähnliche Situation vor­herrschen erwarten nämlich Infektionen zu­rückgehen Tourismus langsam hochfährt Reisewar­nungen zurückgehen 
+	x	x	x	+	o	+	140987	2020_11_26	67	Grüne	Abgeordnete Dr. Elisabeth Götze (Grüne)	True	aktuellen Lockdowns Wifo Prognose revidiert Vergleich Bundesfinanzrahmengesetz Woche Geld Menschen   Soziales Arbeit   vorgesehen Unterstützung Be­troffenen Coronakrise 
-	x	x	x	-	o	-	141109	2020_11_26	67	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Meinung Kolleginnen Kollegen Oppo­sition harte Lockdown Budget   2021 eingepreist eingepreist 
-	x	x	-	x	o	-	141310	2020_11_26	67	FPÖ	Abgeordneter Michael Schnedlitz (FPÖ)	False	Lockdown überbordenden Maßnah­men Hintertür größte Amazon-Förderpaket Geschichte geschaffen 
-	x	x	-	x	-	-	141594	2020_11_26	67	SPÖ	Abgeordnete Mag. Karin Greiner (SPÖ)	False	Bedingt Maßnahmen ÖVP Grüne-Bundesregierung insbesondere neuerliche Lockdown Novem­ber   2020 lassen Einnahmen Branchen wegbrechen 
-	x	x	-	x	o	-	141604	2020_11_26	67	SPÖ	Abgeordnete Mag. Karin Greiner (SPÖ)	False	Angesichts verschlechternden Situation Lockdown Dauer abzusehen Mehrwertsteuersenkungen Bereiche ebenfalls zusätzliche Reduktion Ertragsanteile auswirkt benötigen Gemeinden dringend Finanzmittel Leistungen Be­völkerung aufrecht erhalten 
